,Num_Acc,lum,agg,atm,col,lat,long,datetime
1733,202100040376,1,2,1,3,48.802,2.487,2021-05-10 12:30:00
1734,202100040377,1,2,1,2,48.7845415008,2.4699446253,2021-05-10 17:00:00
1735,202100040378,1,2,2,7,48.76816,2.40304,2021-05-11 15:10:00
1736,202100040435,1,1,1,4,48.82769,2.52551,2021-05-11 07:35:00
1737,202100040436,1,1,1,3,48.82913,2.48151,2021-05-10 14:00:00
1738,202100040515,2,2,2,6,48.81771,2.39731,2021-05-09 19:10:00
1739,202100040516,1,2,8,6,48.7693,2.36785,2021-05-10 17:20:00
1740,202100040517,5,2,2,2,48.757471,2.32768,2021-05-10 04:30:00
1741,202100040518,1,2,8,6,48.7686972359,2.3370194435,2021-05-09 10:10:00
1742,202100040519,3,2,1,6,48.77311,2.45807,2021-05-09 01:13:00
1743,202100040521,5,2,3,7,48.7309,2.42485,2021-05-10 04:00:00
1744,202100040522,1,2,1,6,48.82224,2.49793,2021-05-03 08:45:00
1745,202100040523,1,2,2,4,48.71835,2.569193,2021-05-10 07:25:00
1746,202100040582,1,1,1,3,48.7579,2.3356,2021-05-10 06:30:00
1747,202100040584,1,1,8,4,48.8329741531,2.5336492518,2021-05-10 07:30:00
1748,202100040630,1,2,8,3,48.8358,2.4746,2021-05-09 18:45:00
1749,202100040631,2,2,1,3,48.82224,2.49793,2021-05-09 20:10:00
1750,202100040708,1,1,1,2,48.77342,2.34593,2021-05-09 12:40:00
1751,202100040717,1,1,1,4,48.82971,2.48624,2021-05-09 18:30:00
1752,202100040775,1,2,1,6,48.78655,2.3296,2021-05-08 17:05:00
1753,202100040862,1,1,1,2,48.7542436863,2.3810453254,2021-05-07 09:20:00
1754,202100040958,1,2,1,3,48.7954,2.3731,2021-05-07 15:00:00
1755,202100040959,1,2,1,3,48.8143471135,2.472643683,2021-05-07 18:00:00
1756,202100040960,1,2,1,3,48.7952,2.481,2021-05-07 15:50:00
1757,202100040961,1,2,1,3,48.85034,2.501318,2021-05-07 19:50:00
1758,202100040962,1,2,1,3,48.815343,2.360756,2021-05-07 19:20:00
1759,202100040963,1,2,1,1,48.767642,2.406307,2021-05-07 09:08:00
1760,202100040964,1,2,2,3,48.75891,2.50178,2021-05-06 07:08:00
